deposit_id,name,camp_id,camp_name,basin_id,original_camp_id,original_camp_name,validation_group_id,validation_group_label,source_validation_group_id,label_row_index,assignment_row_index
1,D1,0,northwestern ore field,129,1,northwestern ore field,0,northwestern ore field,,0,0
2,D2,0,northwestern ore field,128,1,northwestern ore field,0,northwestern ore field,,1,1
3,D3,0,northwestern ore field,156,1,northwestern ore field,0,northwestern ore field,,2,2
4,D4,0,northwestern ore field,156,1,northwestern ore field,0,northwestern ore field,,3,3
5,D5,1,eastern ore field,407,5,eastern ore field,1,eastern ore field,,4,4
6,D6,2,western-southwestern ore field,199,2,western-southwestern ore field,2,western-southwestern ore field,,5,5
7,D7,0,northwestern ore field,265,1,northwestern ore field,0,northwestern ore field,,6,6
8,D8,1,eastern ore field,407,5,eastern ore field,1,eastern ore field,,7,7
9,D9,1,eastern ore field,407,5,eastern ore field,1,eastern ore field,,8,8
10,D10,1,eastern ore field,407,5,eastern ore field,1,eastern ore field,,9,9
11,D11,2,western-southwestern ore field,116,2,western-southwestern ore field,2,western-southwestern ore field,,10,10
12,D12,2,western-southwestern ore field,116,2,western-southwestern ore field,2,western-southwestern ore field,,11,11
13,D13,2,western-southwestern ore field,224,2,western-southwestern ore field,2,western-southwestern ore field,,12,12
14,D14,2,western-southwestern ore field,115,2,western-southwestern ore field,2,western-southwestern ore field,,13,13
15,D15,2,western-southwestern ore field,116,2,western-southwestern ore field,2,western-southwestern ore field,,14,14
16,D16,3,central-western ore field,118,3,central-western ore field,3,central-western ore field,,15,15
17,D17,3,central-western ore field,117,3,central-western ore field,3,central-western ore field,,16,16
18,D18,3,central-western ore field,117,3,central-western ore field,3,central-western ore field,,17,17
19,D19,3,central-western ore field,104,3,central-western ore field,3,central-western ore field,,18,18
20,D20,3,central-western ore field,104,3,central-western ore field,3,central-western ore field,,19,19
21,D21,3,central-western ore field,194,3,central-western ore field,3,central-western ore field,,20,20
22,D22,4,central-eastern ore field,134,4,central-eastern ore field,4,central-eastern ore field,,21,21
23,D23,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,22,22
24,D24,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,23,23
25,D25,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,24,24
26,D26,4,central-eastern ore field,220,4,central-eastern ore field,4,central-eastern ore field,,25,25
27,D27,2,western-southwestern ore field,99,2,western-southwestern ore field,2,western-southwestern ore field,,26,26
28,D28,2,western-southwestern ore field,149,2,western-southwestern ore field,2,western-southwestern ore field,,27,27
29,D29,2,western-southwestern ore field,99,2,western-southwestern ore field,2,western-southwestern ore field,,28,28
30,D30,2,western-southwestern ore field,99,2,western-southwestern ore field,2,western-southwestern ore field,,29,29
31,D31,2,western-southwestern ore field,99,2,western-southwestern ore field,2,western-southwestern ore field,,30,30
32,D32,3,central-western ore field,100,3,central-western ore field,3,central-western ore field,,31,31
33,D33,3,central-western ore field,100,3,central-western ore field,3,central-western ore field,,32,32
34,D34,3,central-western ore field,104,3,central-western ore field,3,central-western ore field,,33,33
35,D35,3,central-western ore field,103,3,central-western ore field,3,central-western ore field,,34,34
36,D36,3,central-western ore field,100,3,central-western ore field,3,central-western ore field,,35,35
37,D37,3,central-western ore field,165,3,central-western ore field,3,central-western ore field,,36,36
38,D38,3,central-western ore field,103,3,central-western ore field,3,central-western ore field,,37,37
39,D39,4,central-eastern ore field,132,4,central-eastern ore field,4,central-eastern ore field,,38,38
40,D40,4,central-eastern ore field,132,4,central-eastern ore field,4,central-eastern ore field,,39,39
41,D41,4,central-eastern ore field,132,4,central-eastern ore field,4,central-eastern ore field,,40,40
42,D42,4,central-eastern ore field,109,4,central-eastern ore field,4,central-eastern ore field,,41,41
43,D43,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,42,42
44,D44,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,43,43
45,D45,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,44,44
46,D46,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,45,45
47,D47,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,46,46
48,D48,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,47,47
49,D49,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,48,48
50,D50,2,western-southwestern ore field,166,2,western-southwestern ore field,2,western-southwestern ore field,,49,49
51,D51,3,central-western ore field,100,3,central-western ore field,3,central-western ore field,,50,50
52,D52,4,central-eastern ore field,109,4,central-eastern ore field,4,central-eastern ore field,,51,51
53,D53,4,central-eastern ore field,109,4,central-eastern ore field,4,central-eastern ore field,,52,52
54,D54,4,central-eastern ore field,109,4,central-eastern ore field,4,central-eastern ore field,,53,53
55,D55,4,central-eastern ore field,91,4,central-eastern ore field,4,central-eastern ore field,,54,54
56,D56,4,central-eastern ore field,91,4,central-eastern ore field,4,central-eastern ore field,,55,55
57,D57,1,eastern ore field,64,5,eastern ore field,1,eastern ore field,,56,56
58,D58,1,eastern ore field,63,5,eastern ore field,1,eastern ore field,,57,57
59,D59,1,eastern ore field,269,5,eastern ore field,1,eastern ore field,,58,58
60,D60,1,eastern ore field,357,5,eastern ore field,1,eastern ore field,,59,59
61,D61,3,central-western ore field,100,3,central-western ore field,3,central-western ore field,,60,60
62,D62,4,central-eastern ore field,221,4,central-eastern ore field,4,central-eastern ore field,,61,61
63,D63,2,western-southwestern ore field,224,2,western-southwestern ore field,2,western-southwestern ore field,,62,62
