unit_code,legend_name
1,Quaternary
2,Hongtuya Formation
3,Linjiazhuang Formation
4,Bamiaodi Formation
5,Zhifengzhuang Formation
6,Nanzhuang Formation
7,Fuzikuang Formation
8,Baoshankou Formation
9,Gangyu Formation
10,Jutun Formation
11,Zhanggezhuang Formation
12,Zhujiakuang Formation
13,Xiaosong Formation
14,Lugezhuang Formation
15,Miaojiayan Formation
16,Granodiorite porphyry
17,Fine-grained monzogranite
18,Porphyritic medium- to coarse-grained monzogranite
19,Fine-grained pyroxene-hornblende quartz monzodiorite
20,Pegmatitic inequigranular granite
21,Medium-grained biotite-bearing monzogranite
22,Weakly gneissic fine- to medium-grained garnet-bearing monzogranite
23,Gneissic fine-grained granodiorite
24,Fine-grained metagabbro
25,Gneissic fine-grained biotite-bearing monzogranite
26,Gneissic fine-grained monzogranite
27,Gneissic fine-grained biotite-bearing granodiorite
28,Trondhjemitic gneiss
29,Medium- to fine-grained hornblende-biotite tonalitic gneiss
30,Banded fine-grained hornblende-biotite tonalitic gneiss
31,Medium- to fine-grained metagabbro
33,Granodiorite porphyry dike
34,Quartz monzonite porphyry
35,Quartz diorite porphyrite dike
36,Dacite
37,Gold mineralized vein
38,Talc ore
39,Fault fracture zone
