X	Y	labels
6094.526578	82880.57557	2
6068.440198	82852.74948	1
6124.551545	82871.23086	2
6164.380855	82861.34137	1
6700.739146	82865.87631	1
6151.111958	82756.48726	1
6348.948721	82833.67623	2
6664.981352	82837.99948	1
6681.197411	82835.61572	1
6629.64456	82773.76356	1
6069.356911	82742.32486	1
6071.318794	82728.13551	1
6040.251331	82678.18757	1
6086.079774	82696.66729	1
6114.174454	82744.15643	1
6201.836764	82740.45264	1
6191.499321	82708.37362	1
6219.085838	82702.21224	1
6259.469879	82717.65237	1
6233.379262	82681.86151	1
6286.584454	82683.74366	1
6351.098446	82703.54351	2
6389.525001	82699.27299	1
6423.299234	82693.15883	1
6447.152251	82702.44466	2
6490.005877	82702.52361	2
6080.141965	82644.23543	2
6069.281001	82609.07887	2
6109.959281	82656.86994	2
6110.693014	82639.90573	1
6169.828266500001	82627.56190500001	1
6198.403811	82666.42844	1
6196.44303	82615.8455	1
6227.984262	82618.93999	1
6234.39657	82606.60572	1
6272.470272	82658.66563	1
6309.285563	82638.11533	1
6339.801309	82672.68883	1
6337.358202	82652.94677	1
6333.962828	82600.5103	1
6353.237996	82645.95142	1
6360.081877	82603.62345	1
6378.729909	82634.47521	1
6400.689143	82628.07383	1
6400.998759	82597.50835	1
6436.215206	82677.42663	1
6426.610214	82609.26695	1
6094.893921	82565.26939	2
6181.661623	82580.06488	1
6263.986788	82577.62891	1
6263.015481	82553.57055	1
6283.237556	82543.09755	1
6327.569942	82585.69925	1
6341.860286	82590.03206	1
6549.43857	82562.01484	1
6562.796316	82542.30853	1
6737.850846	82532.95361	2
6631.580978	82710.59951	1
6170.322313	82601.65372	1
6408.200422	82694.34689	1
6027.536177	82721.70645	1
