X	Y
6094.526578	82880.57557
6068.440198	82852.74948
6124.551545	82871.23086
6164.380855	82861.34137
6700.739146	82865.87631
6151.111958	82756.48726
6348.948721	82833.67623
6664.981352	82837.99948
6681.197411	82835.61572
6629.64456	82773.76356
6069.356911	82742.32486
6071.318794	82728.13551
6040.251331	82678.18757
6086.079774	82696.66729
6114.174454	82744.15643
6201.836764	82740.45264
6191.499321	82708.37362
6219.085838	82702.21224
6259.469879	82717.65237
6233.379262	82681.86151
6286.584454	82683.74366
6351.098446	82703.54351
6389.525001	82699.27299
6423.299234	82693.15883
6447.152251	82702.44466
6490.005877	82702.52361
6080.141965	82644.23543
6069.281001	82609.07887
6109.221037	82659.64608
6110.697524	82654.09379
6110.693014	82639.90573
6167.856904	82627.56177
6171.799629	82627.56204
6198.403811	82666.42844
6196.44303	82615.8455
6227.984262	82618.93999
6234.39657	82606.60572
6272.470272	82658.66563
6309.285563	82638.11533
6339.801309	82672.68883
6337.358202	82652.94677
6333.962828	82600.5103
6353.237996	82645.95142
6360.081877	82603.62345
6378.729909	82634.47521
6400.689143	82628.07383
6400.998759	82597.50835
6436.215206	82677.42663
6426.610214	82609.26695
6094.893921	82565.26939
6181.661623	82580.06488
6263.986788	82577.62891
6263.015481	82553.57055
6283.237556	82543.09755
6327.569942	82585.69925
6341.860286	82590.03206
6549.43857	82562.01484
6562.796316	82542.30853
6737.850846	82532.95361
6631.580978	82710.59951
6170.322313	82601.65372
6408.200422	82694.34689
6027.536177	82721.70645
