sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.06047004847859921,1.925946593284607
0,267010,-1,Feature 2,1,0.012962156545491413,0.5896748304367065
0,267010,-1,Feature 3,2,0.0252821316750746,0.3064504563808441
0,267010,-1,Feature 4,3,0.05717506438916238,-0.9489485025405884
0,267010,-1,Feature 5,4,0.11622485215758592,-2.457200765609741
0,267010,-1,FIS,5,0.015049093094800238,-0.2307204306125641
0,267010,-1,Ag,6,-0.0079373611709551,-0.0743868499994278
0,267010,-1,As,7,-0.0405531366732797,-0.6132180690765381
0,267010,-1,Au,8,0.10478415946928148,1.306684970855713
0,267010,-1,Cu,9,0.01032015915498137,0.05222741886973381
0,267010,-1,Sb,10,0.011528076507978827,-0.45168858766555786
0,267010,-1,ΔT,11,0.012635218142467828,-0.005918045062571764
1,76234,-1,Feature 1,0,0.04657723378397653,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.07386787813485142,-1.1887236833572388
1,76234,-1,Feature 3,2,0.032180441750532376,-0.5367143154144287
1,76234,-1,Feature 4,3,0.014268826015912506,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.020800375269921442,0.7969893217086792
1,76234,-1,FIS,5,0.0011698429010851875,-0.5728898048400879
1,76234,-1,Ag,6,0.0004937378666994324,-0.29783567786216736
1,76234,-1,As,7,0.0075915671410579045,-0.11260830610990524
1,76234,-1,Au,8,-0.0369177588498599,-0.27594244480133057
1,76234,-1,Cu,9,-0.003598994333920489,0.212502121925354
1,76234,-1,Sb,10,0.006623634303373675,0.014066528528928757
1,76234,-1,ΔT,11,-0.003887282284432421,0.1606243997812271
2,112204,-1,Feature 1,0,0.0207032663647823,-0.763041615486145
2,112204,-1,Feature 2,1,-0.011374189541616089,-1.0902783870697021
2,112204,-1,Feature 3,2,0.019132384915962263,-0.5140829086303711
2,112204,-1,Feature 4,3,0.028640728666655225,-0.767746090888977
2,112204,-1,Feature 5,4,-0.00904035162201489,0.7124247550964355
2,112204,-1,FIS,5,0.0211855838956826,-0.584650993347168
2,112204,-1,Ag,6,0.0032562716485496014,0.3590873181819916
2,112204,-1,As,7,-0.01868744541499856,2.6933534145355225
2,112204,-1,Au,8,0.00358509029472786,0.0028165974654257298
2,112204,-1,Cu,9,0.035042558683250014,-0.20819656550884247
2,112204,-1,Sb,10,-0.002914433837130156,0.22320175170898438
2,112204,-1,ΔT,11,0.012727434989767241,0.34740179777145386
3,239602,-1,Feature 1,0,-0.016197135568237896,0.2945587635040283
3,239602,-1,Feature 2,1,-0.01001655816504384,0.12218911200761795
3,239602,-1,Feature 3,2,0.009895192279134287,-0.3320280611515045
3,239602,-1,Feature 4,3,-0.00994397550320593,0.04144500941038132
3,239602,-1,Feature 5,4,-0.002976110585478221,0.4851735830307007
3,239602,-1,FIS,5,-0.01117581524680955,-0.5196393132209778
3,239602,-1,Ag,6,-0.0012840538942157432,-0.3898316025733948
3,239602,-1,As,7,0.0035656246571501887,-0.29595947265625
3,239602,-1,Au,8,-0.027794174155403584,-0.3083466589450836
3,239602,-1,Cu,9,0.014162002544222197,-0.3056713044643402
3,239602,-1,Sb,10,0.005584221108058505,-0.32182577252388
3,239602,-1,ΔT,11,-0.024062655808246448,-1.2754850387573242
4,259841,-1,Feature 1,0,-0.004394290482256994,0.28026026487350464
4,259841,-1,Feature 2,1,-0.005708826979051466,0.2010517418384552
4,259841,-1,Feature 3,2,0.028619968208177006,-0.215251162648201
4,259841,-1,Feature 4,3,-0.005572824889257143,0.144866943359375
4,259841,-1,Feature 5,4,-0.013082739641685865,0.4327586591243744
4,259841,-1,FIS,5,-0.008893945054587255,-0.5475339889526367
4,259841,-1,Ag,6,0.0036326336918475104,-0.27727916836738586
4,259841,-1,As,7,-0.003039680500276091,-0.14059773087501526
4,259841,-1,Au,8,-0.026571307341093513,-0.3273128867149353
4,259841,-1,Cu,9,0.022024883721069408,-0.08770672231912613
4,259841,-1,Sb,10,0.0021542971940177996,-0.1579292118549347
4,259841,-1,ΔT,11,-0.0178253397163337,-1.4731018543243408
5,121893,-1,Feature 1,0,0.018139737126455086,-0.8523076176643372
5,121893,-1,Feature 2,1,-0.009685423729358909,-1.1900231838226318
5,121893,-1,Feature 3,2,0.040060623315667836,-0.5389382839202881
5,121893,-1,Feature 4,3,0.042514433339511014,-0.7909508943557739
5,121893,-1,Feature 5,4,0.01506297427798792,0.7977198958396912
5,121893,-1,FIS,5,0.00823529793856422,-0.5601339340209961
5,121893,-1,Ag,6,0.009567702757864857,0.0712525025010109
