channel,importance,model_index,model_path
Feature 1,0.0276526276571395,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Feature 2,0.0189078615490714,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Feature 3,0.0179495221310447,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Feature 4,0.0325909677796137,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Feature 5,0.0174263546492459,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
FIS,0.0137893921695335,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Ag,0.0118237767647974,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
As,0.0136254306909593,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Au,0.0125429590752394,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Cu,0.0106685775899182,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Sb,0.0115894666099901,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
ΔT,0.0166918552579059,1,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model1.pth
Feature 1,0.019886371528369,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Feature 2,0.0206061228405682,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Feature 3,0.0183885570513551,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Feature 4,0.0221271445219016,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Feature 5,0.0154281811709502,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
FIS,0.0141102667749267,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Ag,0.0224308214587908,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
As,0.0124930059794241,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Au,0.0357125849865141,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Cu,0.0187968495607998,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Sb,0.0091533461161065,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
ΔT,0.0188165802990014,2,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model2.pth
Feature 1,0.0233057675829372,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Feature 2,0.01743344594846,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Feature 3,0.010312242975997,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Feature 4,0.0167357087105815,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Feature 5,0.0104999105899667,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
FIS,0.0109183902919556,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Ag,0.0166072520436108,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
As,0.0110461979515178,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Au,0.0140045196034778,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Cu,0.009571098370422,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Sb,0.0079493221925041,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
ΔT,0.0128760957498731,3,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model3.pth
Feature 1,0.0251809171075568,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Feature 2,0.0231019274669412,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Feature 3,0.0228966086559096,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Feature 4,0.0162830108500294,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Feature 5,0.0109081038554095,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
FIS,0.0153284834474643,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Ag,0.0109981364910992,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
As,0.0104708573479768,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Au,0.0183410398890414,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Cu,0.007987802716008,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Sb,0.0128753890768588,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
ΔT,0.0153325857418672,4,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model4.pth
Feature 1,0.0260534044158909,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Feature 2,0.0210953602637523,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Feature 3,0.0288586681642283,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Feature 4,0.0156500838115949,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Feature 5,0.0201416386176909,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
FIS,0.0436579229971563,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Ag,0.0336000554597146,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
As,0.0228075005299855,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Au,0.0174205612438492,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Cu,0.0122842259509913,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Sb,0.0109309126031091,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
ΔT,0.0163925992986778,5,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model5.pth
Feature 1,0.0384360020119083,6,D:/PYTHON/王远方软件/代码/模型训练/result/论文使用/表9 不同模型预测结果评估指标/repeat_training_20260528_154053-论文使用/PU-CNN/model6.pth
